rank,name,year,certificate,runtime,genre,rating,story,director,cast,gross
96.,Up,(2009),U,96 min,"
Animation, Adventure, Comedy            ",8.2,"
    78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.",Pete Docter,"Bob Peterson, Edward Asner, Jordan Nagai, John Ratzenberger",$293.00M
97.,The Wolf of Wall Street,(2013),A,180 min,"
Biography, Crime, Drama            ",8.2,"
    Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",Martin Scorsese,"Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey",$116.90M
98.,There Will Be Blood,(2007),R,158 min,"
Drama            ",8.2,"
    A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",Paul Thomas Anderson,"Daniel Day-Lewis, Paul Dano, Ciarán Hinds, Martin Stringer",$40.22M
99.,Pan's Labyrinth,(2006),UA,118 min,"
Drama, Fantasy, War            ",8.2,"
    In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.",Guillermo del Toro,"Ivana Baquero, Ariadna Gil, Sergi López, Maribel Verdú",$37.63M
100.,V for Vendetta,(2005),A,132 min,"
Action, Drama, Sci-Fi            ",8.2,"
    In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman.",James McTeigue,"Hugo Weaving, Natalie Portman, Rupert Graves, Stephen Rea",$70.51M
101.,Batman Begins,(2005),UA,140 min,"
Action, Adventure            ",8.2,"
    After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.",Christopher Nolan,"Christian Bale, Michael Caine, Ken Watanabe, Liam Neeson",$206.85M
102.,A Beautiful Mind,(2001),UA,135 min,"
Biography, Drama            ",8.2,"
    After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.",Ron Howard,"Russell Crowe, Ed Harris, Jennifer Connelly, Christopher Plummer",$170.74M
103.,L.A. Confidential,(1997),R,138 min,"
Crime, Drama, Mystery            ",8.2,"
    As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",Curtis Hanson,"Kevin Spacey, Russell Crowe, Guy Pearce, Kim Basinger",$64.62M
104.,Heat,(1995),15+,170 min,"
Crime, Drama, Thriller            ",8.2,"
    A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.",Michael Mann,"Al Pacino, Robert De Niro, Val Kilmer, Jon Voight",$67.44M
105.,Casino,(1995),A,178 min,"
Crime, Drama            ",8.2,"
    A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive, compete against each other over a gambling empire, and over a fast living and fast loving socialite.",Martin Scorsese,"Robert De Niro, Sharon Stone, Joe Pesci, James Woods",$42.44M
106.,Unforgiven,(1992),R,130 min,"
Drama, Western            ",8.2,"
    Retired Old West gunslinger William Munny (Clint Eastwood) reluctantly takes on one last job, with the help of his old partner Ned Logan (Morgan Freeman) and a young man, The ""Schofield Kid"" (Jaimz Woolvett).",Clint Eastwood,"Clint Eastwood, Gene Hackman, Morgan Freeman, Richard Harris",$101.16M
107.,Indiana Jones and the Last Crusade,(1989),U,127 min,"
Action, Adventure            ",8.2,"
    In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against Adolf Hitler's Nazis again to stop them from obtaining its powers.",Steven Spielberg,"Harrison Ford, Sean Connery, Alison Doody, Denholm Elliott",$197.17M
108.,Die Hard,(1988),A,132 min,"
Action, Thriller            ",8.2,"
    An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.",John McTiernan,"Bruce Willis, Alan Rickman, Bonnie Bedelia, Reginald VelJohnson",$83.01M
109.,Raging Bull,(1980),A,129 min,"
Biography, Drama, Sport            ",8.2,"
    The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",Martin Scorsese,"Robert De Niro, Cathy Moriarty, Joe Pesci, Frank Vincent",$23.38M
110.,A Woman Under the Influence,(1974),155 min,155 min,"
Drama, Romance            ",8.2,"
    Mabel, a wife and mother, is loved by her husband Nick but her mental illness proves to be a problem in the marriage.",John Cassavetes,"Gena Rowlands, Peter Falk, Fred Draper, Lady Rowlands",$13.34M
111.,Chinatown,(1974),UA,130 min,"
Drama, Mystery, Thriller            ",8.2,"
    A private detective hired to expose an adulterer finds himself caught up in a web of deceit, corruption, and murder.",Roman Polanski,"Jack Nicholson, Faye Dunaway, John Huston, Perry Lopez",$29.20M
112.,The Great Escape,(1963),172 min,172 min,"
Adventure, Drama, History            ",8.2,"
    Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.",John Sturges,"Steve McQueen, James Garner, Richard Attenborough, Charles Bronson",$12.10M
113.,To Kill a Mockingbird,(1962),U,129 min,"
Crime, Drama            ",8.2,"
    Atticus Finch, a lawyer in the Depression-era South, defends a black man against an undeserved rape charge, and his children against prejudice.",Robert Mulligan,"Gregory Peck, John Megna, Frank Overton, Rosemary Murphy",NaN
114.,Judgment at Nuremberg,(1961),179 min,179 min,"
Drama, War            ",8.2,"
    In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.",Stanley Kramer,"Spencer Tracy, Burt Lancaster, Richard Widmark, Marlene Dietrich",NaN
115.,Some Like It Hot,(1959),U,121 min,"
Comedy, Music, Romance            ",8.2,"
    After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",Billy Wilder,"Marilyn Monroe, Tony Curtis, Jack Lemmon, George Raft",$25.00M
116.,A Face in the Crowd,(1957),126 min,126 min,"
Drama, Music            ",8.2,"
    An Arkansas drifter becomes an overnight media sensation. As he becomes drunk with fame and power, will he ever be exposed as the fraud he has become?",Elia Kazan,"Andy Griffith, Patricia Neal, Anthony Franciosa, Walter Matthau",NaN
117.,Dial M for Murder,(1954),105 min,105 min,"
Crime, Thriller            ",8.2,"
    A tennis player tries to arrange his wife's murder after learning of her affair.",Alfred Hitchcock,"Ray Milland, Grace Kelly, Robert Cummings, John Williams",$0.01M
118.,All About Eve,(1950),138 min,138 min,"
Drama            ",8.2,"
    A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.",Joseph L. Mankiewicz,"Bette Davis, Anne Baxter, George Sanders, Celeste Holm",$0.01M
119.,The Treasure of the Sierra Madre,(1948),126 min,126 min,"
Adventure, Drama, Western            ",8.2,"
    Two Americans searching for work in Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.",John Huston,"Humphrey Bogart, Walter Huston, Tim Holt, Bruce Bennett",$5.01M
120.,To Be or Not to Be,(1942),99 min,99 min,"
Comedy, War            ",8.2,"
    During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.",Ernst Lubitsch,"Carole Lombard, Jack Benny, Robert Stack, Felix Bressart",NaN
121.,I Am a Fugitive from a Chain Gang,(1932),92 min,92 min,"
Crime, Drama, Film-Noir            ",8.2,"
    Wrongly convicted James Allen serves in the intolerable conditions of a southern chain gang, which later comes back to haunt him.",Mervyn LeRoy,"Paul Muni, Glenda Farrell, Helen Vinson, Noel Francis",NaN
122.,The Gold Rush,(1925),95 min,95 min,"
Adventure, Comedy, Drama            ",8.2,"
    A prospector goes to the Klondike in search of gold and finds it and more.",Charles Chaplin,"Charles Chaplin, Mack Swain, Tom Murray, Henry Bergman",$5.45M
123.,Sherlock Jr.,(1924),45 min,45 min,"
Action, Comedy, Romance            ",8.2,"
    A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.",Buster Keaton,"Buster Keaton, Kathryn McGuire, Joe Keaton, Erwin Connelly",$0.98M
124.,Logan,(2017),A,137 min,"
Action, Drama, Sci-Fi            ",8.1,"
    In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",James Mangold,"Hugh Jackman, Patrick Stewart, Dafne Keen, Boyd Holbrook",$226.28M
125.,Room,(I) (2015),16,118 min,"
Drama, Thriller            ",8.1,"
    Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.",Lenny Abrahamson,"Brie Larson, Jacob Tremblay, Sean Bridgers, Wendy Crewson",$14.68M
126.,The Grand Budapest Hotel,(2014),R,99 min,"
Adventure, Comedy, Crime            ",8.1,"
    A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.",Wes Anderson,"Ralph Fiennes, F. Murray Abraham, Mathieu Amalric, Adrien Brody",$59.10M
127.,Gone Girl,(2014),A,149 min,"
Drama, Mystery, Thriller            ",8.1,"
    With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",David Fincher,"Ben Affleck, Rosamund Pike, Neil Patrick Harris, Tyler Perry",$167.77M
128.,Hacksaw Ridge,(2016),A,139 min,"
Biography, Drama, History            ",8.1,"
    World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot.",Mel Gibson,"Andrew Garfield, Sam Worthington, Luke Bracey, Teresa Palmer",$67.21M
129.,Inside Out,(I) (2015),U,95 min,"
Animation, Adventure, Comedy            ",8.1,"
    After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",Pete Docter,"Ronnie Del Carmen, Amy Poehler, Bill Hader, Lewis Black",$356.46M
130.,12 Years a Slave,(2013),A,134 min,"
Biography, Drama, History            ",8.1,"
    In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",Steve McQueen,"Chiwetel Ejiofor, Michael Kenneth Williams, Michael Fassbender, Brad Pitt",$56.67M
131.,Rush,(I) (2013),UA,123 min,"
Action, Biography, Drama            ",8.1,"
    The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.",Ron Howard,"Daniel Brühl, Chris Hemsworth, Olivia Wilde, Alexandra Maria Lara",$26.95M
132.,Ford v. Ferrari,(2019),UA,152 min,"
Action, Biography, Drama            ",8.1,"
    American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.",James Mangold,"Matt Damon, Christian Bale, Jon Bernthal, Caitriona Balfe",$117.62M
133.,Spotlight,(I) (2015),R,129 min,"
Biography, Crime, Drama            ",8.1,"
    The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",Tom McCarthy,"Mark Ruffalo, Michael Keaton, Rachel McAdams, Liev Schreiber",$45.06M
134.,Prisoners,(2013),R,153 min,"
Crime, Drama, Mystery            ",8.1,"
    When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.",Denis Villeneuve,"Hugh Jackman, Jake Gyllenhaal, Viola Davis, Melissa Leo",$61.00M
135.,Gran Torino,(2008),R,116 min,"
Drama            ",8.1,"
    Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.",Clint Eastwood,"Clint Eastwood, Bee Vang, Christopher Carley, Ahney Her",$148.10M
136.,Harry Potter and the Deathly Hallows: Part 2,(2011),UA,130 min,"
Adventure, Drama, Fantasy            ",8.1,"
    Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon",$381.01M
137.,Hachi: A Dog's Tale,(2009),93 min,93 min,"
Drama, Family            ",8.1,"
    A college professor bonds with an abandoned dog he takes into his home.",Lasse Hallström,"Richard Gere, Joan Allen, Cary-Hiroyuki Tagawa, Sarah Roemer",NaN
138.,How to Train Your Dragon,(2010),U,98 min,"
Animation, Action, Adventure            ",8.1,"
    A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",Dean DeBlois,"Chris Sanders, Jay Baruchel, Gerard Butler, Christopher Mintz-Plasse",$217.58M
139.,Tropa de Elite,(2007),R,115 min,"
Action, Crime, Drama            ",8.1,"
    In 1997 Rio de Janeiro, Captain Nascimento has to find a substitute for his position while trying to take down drug dealers and criminals before the Pope visits.",José Padilha,"Wagner Moura, André Ramiro, Caio Junqueira, Milhem Cortaz",$0.01M
